text,audio,speaker,normalized_text,output_checkpoint-483,output_checkpoint-69,output_checkpoint-966,output_checkpoint-759,output_checkpoint-1104,output_checkpoint-552,output_checkpoint-690,output_checkpoint-1932,output_checkpoint-1449,output_checkpoint-1794,output_checkpoint-138,output_checkpoint-207,output_checkpoint-2001,output_checkpoint-1863,output_checkpoint-1725,output_checkpoint-345,output_checkpoint-828,output_checkpoint-1173,output_checkpoint-414,output_checkpoint-1311,output_checkpoint-276,output_checkpoint-2070,output_checkpoint-1587,output_checkpoint-1518,output_checkpoint-1380,output_checkpoint-621,output_checkpoint-1656,output_checkpoint-1035,output_checkpoint-1242,output_checkpoint-897,openai_whisper-large-v3
Ce s njimi delan?,data/test/MP_13_177.67-178.57.mp3,Dilavac,Ce s njimi delan?, To je njemi dajlan!," Zanimi, Dajlan!", To je njemi dajlan!, To je njemi dajlan!, To je njemi dajlan!, To je njemi dajlan!, To je njemi dajlan!, To je njemi delan?, To je njemi dajlan!, To je njemi delan?," Ča je njime, Darlan?", To je njime Dajlan., To je njemi delan?, To je njemi delan?, To je njemi delan?, To je njemi dajlan!, To je njemi dajlan!, To je njemi dajlan!, To je nimi delan!, To je njemi dajlan!, To je nimi delan!, To je njemi delan?, To je njemi delan?, To je njemi dajlan!, To je njemi dajlan!, To je njemi dajlan!, To je njemi delan?, To je njemi dajlan!, To je njemi dajlan!, To je njemi dajlan!," Čez njeme, Dajlan!"
Ja.,data/test/MP_13_178.93-179.12.mp3,Mići Princ,Ja., Ja., Ja., Ja., Ja., Ja., Ja., Ja., Ja., Ja., Ja., Ja., Ja., Ja., Ja., Ja., Ja., Ja., Ja., Ja., Ja., Ja., Ja., Ja., Ja., Ja., Ja., Ja., Ja., Ja., Ja., Ja.
Niš. Moje su.,data/test/MP_13_180.0-181.12.mp3,Dilavac,Niš. Moje su.," Niš, moje su."," Niš, moje su."," Niš, moje su."," Niš, moje su."," Niš, moje su."," Niš, moje su."," Niš, moje su."," Niš, moje su."," Niš, moje su."," Niš, moje su."," Niš, moje su."," Niš, moje su."," Niš, moje su."," Niš, moje su."," Niš, moje su."," Niš, moje su."," Niš, moje su."," Niš, moje su."," Niš, moje su."," Niš, moje su."," Niš, moje su."," Niš, moje su."," Niš, moje su."," Niš, moje su."," Niš, moje su."," Niš, moje su."," Niš, moje su."," Niš, moje su."," Niš, moje su."," Niš, moje su."," Niš, moje su..."
Zvizde su tvoje?,data/test/MP_13_181.32-182.31.mp3,Mići Princ,Zvizde su tvoje?, Zvizde su tvoje., Zvizde su tvoje., Zvizde su tvoje!, Zvizde su tvoje!, Zvizde su tvoje!, Zvizde su tvoje., Zvizde su tvoje!, Zvizde su tvoje!, Zvizde su tvoje!, Zvizde su tvoje!, Zvizde su tvoje. , Zvizde su tvoje., Zvizde su tvoje!, Zvizde su tvoje!, Zvizde su tvoje!, Zvizde su tvoje!, Zvizde su tvoje!, Zvizde su tvoje!, Zvizde su tvoje!, Zvizde su tvoje!, Zvizde su tvoje!, Zvizde su tvoje!, Zvizde su tvoje!, Zvizde su tvoje!, Zvizde su tvoje!, Zvizde su tvoje., Zvizde su tvoje!, Zvizde su tvoje!, Zvizde su tvoje!, Zvizde su tvoje!, Zvi zne su tvoje.
Da.,data/test/MP_13_182.74-183.13.mp3,Dilavac,Da., Da!, Da!, Da!, Da!, Da!, Da!, Da!, Da!, Da!, Da!, Da!, Da!, Da!, Da!, Da!, Da!, Da!, Da!, Da!, Da!, Da!, Da!, Da!, Da!, Da!, Da!, Da!, Da!, Da!, Da!, Da.
Ali ja san već videv jeniga kraja ki...,data/test/MP_13_184.17-186.03.mp3,Mići Princ,Ali ja san već videv jeniga kraja ki..., Ali ja san već videv jedniga kraja ki..., Ali ja sam već videv jedniga kraja ki, Ali ja san već videv jeniga kraja ki..., Ali ja san već videv jeniga kraja ki..., Ali ja san već videv jeniga kraja ki..., Ali ja san već videv jedniga kraja ki..., Ali ja san već videv jeniga kraja ki..., Ali ja san već videv jeniga kraja ki..., Ali ja san već videv jeniga kraja ki..., Ali ja san već videv jeniga kraja ki..., Ali ja san već videv jedniga kraja ki, Ali ja san već videv jeniga kraja ki..., Ali ja san već videv jeniga kraja ki..., Ali ja san već videv jeniga kraja ki..., Ali ja san već videv jeniga kraja ki..., Ali ja san već videv jeniga kraja ki, Ali ja san već videv jeniga kraja ki..., Ali ja san već videv jeniga kraja ki..., Ali ja san već videv jeniga kraja ki, Ali ja san već videv jeniga kraja ki..., Ali ja san već videv jeniga kraja ki..., Ali ja san već videv jeniga kraja ki..., Ali ja san već videv jeniga kraja ki..., Ali ja san već videv jeniga kraja ki..., Ali ja san već videv jeniga kraja ki..., Ali ja san već videv jedniga kraja ki..., Ali ja san već videv jeniga kraja ki..., Ali ja san već videv jeniga kraja ki..., Ali ja san već videv jeniga kraja ki..., Ali ja san već videv jeniga kraja ki..., Ali ja sam već videvjenio krajaki
Kraji niš nimaju. Oni zapovedaju zes stvarimi. To je vero drugacije.,data/test/MP_13_186.35-190.57.mp3,Dilavac,Kraji niš nimaju. Oni zapovedaju zes stvarimi. To je vero drugacije., Kraji nič nimaju. Oni zapovedeju ze stvarimi. To je vero drugacije., Kraji nič nimaju. Oni zapovedaju za stvarimi. To je vrlo drugacije., Kraji nič nimaju. Oni zapovedeju ze stvarimi. To je vero drugacije., Kraji nič nimaju. Oni zapovedeju ze stvarimi. To je vero drugacije., Kraji nič nimaju. Oni zapovedeju ze stvarimi. To je vero drugacije., Kraji nič nimaju. Oni zapovedeju ze stvarimi. To je vero drugacije., Kraji nič nimaju. Oni zapovedeju ze stvarimi. To je vero drugacije., Kraji nič nimaju. Oni zapovedeju ze stvarimi. To je vero drugacije., Kraji nič nimaju. Oni zapovedeju ze stvarimi. To je vero drugacije., Kraji nič nimaju. Oni zapovedeju ze stvarimi. To je vero drugacije., Kraji nič nimaju. Oni zapovedaju ze stvarimi. To je verodrugacije., Kraji nič nimaju. Oni zapovedaju za stvarimi. To je vero drugacije., Kraji nič nimaju. Oni zapovedeju ze stvarimi. To je vero drugacije., Kraji nič nimaju. Oni zapovedeju ze stvarimi. To je vero drugacije., Kraji nič nimaju. Oni zapovedeju ze stvarimi. To je vero drugacije., Kraji nič nimaju. Oni zapovedaju ze stvarimi. To je vero drugacije., Kraji nič nimaju. Oni zapovedeju ze stvarimi. To je vero drugacije., Kraji nič nimaju. Oni zapovedeju ze stvarimi. To je vero drugacije., Kraji nič nimaju. Oni zapovedeju ze stvarimi. To je vero drugacije., Kraji nič nimaju. Oni zapovedeju ze stvarimi. To je vero drugacije., Kraji nič nimaju. Oni zapovedaju ze stvarimi. To je vero drugacije., Kraji nič nimaju. Oni zapovedeju ze stvarimi. To je vero drugacije., Kraji nič nimaju. Oni zapovedeju ze stvarimi. To je vero drugacije., Kraji nič nimaju. Oni zapovedeju ze stvarimi. To je vero drugacije., Kraji nič nimaju. Oni zapovedeju ze stvarimi. To je vero drugacije., Kraji nič nimaju. Oni zapovedeju ze stvarimi. To je vero drugacije., Kraji nič nimaju. Oni zapovedeju ze stvarimi. To je vero drugacije., Kraji nič nimaju. Oni zapovedeju ze stvarimi. To je vero drugacije., Kraji nič nimaju. Oni zapovedeju ze stvarimi. To je vero drugacije., Kraji nič nimaju. Oni zapovedeju ze stvarimi. To je vero drugacije., Kraji nič nimao Oni zapovedaju za stvari I to je vero drugacije
A kakova ti korist od tiga ča maš zvizde?,data/test/MP_13_191.62-193.81.mp3,Mići Princ,A kakova ti korist od tiga ča maš zvizde?, A kako va ti korist od tiga ča maš zvizde?, A kako va ti korist od tiga ča maš zvizde?, A kako va ti korist od tiga ča maš zvizde?, A kako va ti korist od tiga ča maš zvizde?, A kako va ti korist od tiga ča maš zvizde?, A kako va ti korist od tiga ča maš zvizde?, A kako va ti korist od tiga ča maš zvizde?, A kako va ti korist od tiga ča maš zvizde?, A kako va ti korist od tiga ča maš zvizde?, A kako va ti korist od tiga ča maš zvizde?, A kako va ti korist od tiga ča maš zvizde?, A kako va ti korist od tiga ča maš zvizde?, A kako va ti korist od tiga ča maš zvizde?, A kako va ti korist od tiga ča maš zvizde?, A kako va ti korist od tiga ča maš zvizde?, A kako va ti korist od tiga ča maš zvizde?, A kako va ti korist od tiga ča maš zvizde?, A kako va ti korist od tiga ča maš zvizde?, A kako va ti korist od tiga ča maš zvizde?, A kako va ti korist od tiga ča maš zvizde?, A kako va ti korist od tiga ča maš zvizde?, A kako va ti korist od tiga ča maš zvizde?, A kako va ti korist od tiga ča maš zvizde?, A kako va ti korist od tiga ča maš zvizde?, A kako va ti korist od tiga ča maš zvizde?, A kako va ti korist od tiga ča maš zvizde?, A kako va ti korist od tiga ča maš zvizde?, A kako va ti korist od tiga ča maš zvizde?, A kako va ti korist od tiga ča maš zvizde?, A kako va ti korist od tiga ča maš zvizde?, A kako vam ti koristio tiga čamaž vizde?
To me cini bogatin.,data/test/MP_13_194.91-196.04.mp3,Dilavac,To me cini bogatin., Tu mecini bogatin., Tome cini bogatin., Tu mecini bogatin., Tu mecini bogatin., Tu mecini bogatin., Tu mecini bogatin., Tu mecini bogatin., Tu mecini bogatin., Tu mecini bogatin., Tu mecini bogatin., Tomecini bogatin., To me cini bogatin., Tu mecini bogatin., Tu mecini bogatin., Tu mecini bogatin., Tu mecin je bogatin., Tu mecini bogatin., Tu mecini bogatin., Tu mecini bogatin., Tu mecini bogatin., Tu me cini bogatin., Tu mecini bogatin., Tu mecini bogatin., Tu mecini bogatin., Tu mecini bogatin., Tu mecini bogatin., Tu mecini bogatin., Tu mecini bogatin., Tu mecini bogatin., Tu mecini bogatin., To me cini bogatin.
A ča ti koristi bit bogat?,data/test/MP_13_196.41-198.22.mp3,Mići Princ,A ča ti koristi bit bogat?, A ča ti koristi bit bogat?, A ča ti koristi bit bogat?, A ča ti koristi bit bogat?, A ča ti koristi bit bogat?, A ča ti koristi bit bogat?, A ča ti koristi bit bogat?, A ča ti koristi bit bogat?, A ča ti koristi bit bogat?, A ča ti koristi bit bogat?, A ča ti koristi bit bogat?, A ča ti koristi bit bogat?, A ča ti koristi bit bogat?, A ča ti koristi bit bogat?, A ča ti koristi bit bogat?, A ča ti koristi bit bogat?, A ča ti koristi bit bogat?, A ča ti koristi bit bogat?, A ča ti koristi bit bogat?, A ča ti koristi bit bogat?, A ča ti koristi bit bogat?, A ča ti koristi bit bogat?, A ča ti koristi bit bogat?, A ča ti koristi bit bogat?, A ča ti koristi bit bogat?, A ča ti koristi bit bogat?, A ča ti koristi bit bogat?, A ča ti koristi bit bogat?, A ča ti koristi bit bogat?, A ča ti koristi bit bogat?, A ča ti koristi bit bogat?, A ča ti koristi bit bogat?
"Da kupin druge zvezdi, ako ih neki najde.",data/test/MP_13_198.75-201.16.mp3,Dilavac,"Da kupin druge zvezdi, ako ih neki najde."," Da kupin druge zvezdi, ako jih niki najde."," da kupin druge zvezdi, ako ih niki najde."," Da kupin druge zvezdi, ako jih niki najde."," Da kupin druge zvezdi, ako jih niki najde."," Da kupin druge zvezdi, ako jih niki najde."," Da kupin druge zvezdi, ako jih niki najde."," Da kupin druge zvezdi, ako jih niki najde."," Da kupin druge zvezdi, ako jih niki najde."," Da kupin druge zvezdi, ako jih niki najde."," Da kupin druge zvezdi, ako jih niki najde."," Da kupin druge zvezdi, ako jih niki najde."," Da kupin druge zvezdi, ako jih niki najde."," Da kupin druge zvezdi, ako jih niki najde."," Da kupin druge zvezdi, ako jih niki najde."," Da kupin druge zvezdi, ako jih niki najde."," Da kupin druge zvezdi, ako jih niki najde."," Da kupin druge zvezdi, ako jih niki najde."," Da kupin druge zvezdi, ako jih niki najde."," Da kupin druge zvezdi, ako jih niki najde."," Da kupin druge zvezdi, ako jih niki najde."," Da kupin druge zvezdi, ako jih niki najde."," Da kupin druge zvezdi, ako jih niki najde."," Da kupin druge zvezdi, ako jih niki najde."," Da kupin druge zvezdi, ako jih niki najde."," Da kupin druge zvezdi, ako jih niki najde."," Da kupin druge zvezdi, ako jih niki najde."," Da kupin druge zvezdi, ako jih niki najde."," Da kupin druge zvezdi, ako jih niki najde."," Da kupin druge zvezdi, ako jih niki najde."," Da kupin druge zvezdi, ako jih niki najde."," Da kupim druge zvezdi, ako ih neki najde."
Ovi ovdi razabira skoro kot oni moj pijanac. Kako čovik more imet zvizde?,data/test/MP_13_201.56-208.54.mp3,Mići Princ,Ovi ovdi razabira skoro kot oni moj pijanac. Kako čovik more imet zvizde?, Ovi ovdi razabira skoro kot oni moj pijanac. Kako čovik more imet zvizde?, Ovi ovdi razabira skoro kot on i moj pijanac. Kako čovik more imet zvizde?, Ovi ovdi razabira skoro kot oni moj pijanac. Kako čovik more imet zvizde?, Ovi ovdi razabira skoro kot oni moj pijanac. Kako čovik more imet zvizde?, Ovi ovdi razabira skoro kot oni moj pijanac. Kako čovik more imet zvizde?, Ovi ovdi razabira skoro kot oni moj pijanac. Kako čovik more imet zvizde?, Ovi ovdi razabira skoro kot oni moj pijanac. Kako čovik more imet zvizde?, Ovi ovdi razabira skoro kot oni moj pijanac. Kako čovik more imet zvizde?, Ovi ovdi razabira skoro kot oni moj pijanac. Kako čovik more imet zvizde?, Ovi ovdi razabira skoro kot oni moj pijanac. Kako čovik more imet zvizde?, Ovi ovdi razabira skoro kot on i moj pijanac. Kako čovik more imet zvizde?, Ovi ovdi razabira skoro kot on i moj pijanac. Kako čovik more imet zvizde?, Ovi ovdi razabira skoro kot oni moj pijanac. Kako čovik more imet zvizde?, Ovi ovdi razabira skoro kot oni moj pijanac. Kako čovik more imet zvizde?, Ovi ovdi razabira skoro kot oni moj pijanac. Kako čovik more imet zvizde?, Ovi ovdi razabira skoro kot on i moj pijanac. Kako čovik more imet zvizde?, Ovi ovdi razabira skoro kot oni moj pijanac. Kako čovik more imet zvizde?, Ovi ovdi razabira skoro kot oni moj pijanac. Kako čovik more imet zvizde?, Ovi ovdi razabira skoro kot oni moj pijanac. Kako čovik more imet zvizde?, Ovi ovdi razabira skoro kot oni moj pijanac. Kako čovik more imet zvizde?, Ovi ovdi razabira skoro kot on i moj pijanac. Kako čovik more imet zvizde?, Ovi ovdi razabira skoro kot oni moj pijanac. Kako čovik more imet zvizde?, Ovi ovdi razabira skoro kot oni moj pijanac. Kako čovik more imet zvizde?, Ovi ovdi razabira skoro kot oni moj pijanac. Kako čovik more imet zvizde?, Ovi ovdi razabira skoro kot oni moj pijanac. Kako čovik more imet zvizde?, Ovi ovdi razabira skoro kot oni moj pijanac. Kako čovik more imet zvizde?, Ovi ovdi razabira skoro kot oni moj pijanac. Kako čovik more imet zvizde?, Ovi ovdi razabira skoro kot oni moj pijanac. Kako čovik more imet zvizde?, Ovi ovdi razabira skoro kot oni moj pijanac. Kako čovik more imet zvizde?, Ovi ovdi razabira skoro kot oni moj pijanac. Kako čovik more imet zvizde?, Ovi ovdje razabira skoro kod oni moj pijanac. Kako će ovih mora imet zvizde?
A kinjeve su one?,data/test/MP_13_209.12-210.19.mp3,Dilavac,A kinjeve su one?, A ki nje ve suone?, A ki njeve su one?, A ki nje ve suone?, A ki nje ve suone?, A ki nje ve suone?, A ki nje ve suone?, A ki nje ve suone?, A ki nje ve suone?, A ki nje ve suone?, A ki nje ve suone?, A ki nje ve suone?, A ki njeve suone?, A ki nje ve suone?, A ki nje ve suone?, A ki nje ve suone?, A ki nje ve suone?, A ki nje ve suone?, A ki nje ve suone?, A ki nje ve suone?, A ki nje ve suone?, A ki nje ve suone?, A ki nje ve suone?, A ki nje ve suone?, A ki nje ve suone?, A ki nje ve suone?, A ki nje ve suone?, A ki nje ve suone?, A ki nje ve suone?, A ki nje ve suone?, A ki nje ve suone?, A kje je veseljne?
Ne znan. Ničigove.,data/test/MP_13_210.94-212.0.mp3,Mići Princ,Ne znan. Ničigove.," Ne zna, ničigove.", Ne zna ničigove.," Ne zna, ničigove."," Ne zna, ničigove."," Ne zna, ničigove."," Ne zna, ničigove."," Ne zna, ničigove."," Ne zna, ničigove."," Ne zna, ničigove."," Ne zna, ničigove."," Ne zna, ničigove."," Ne zna, ničigove."," Ne zna, ničigove."," Ne zna, ničigove."," Ne zna, ničigove."," Ne zna, ničigove."," Ne zna, ničigove."," Ne zna, ničigove."," Ne zna, ničigove."," Ne zna, ničigove."," Ne zna, ničigove."," Ne zna, ničigove."," Ne zna, ničigove."," Ne zna, ničigove."," Ne zna, ničigove."," Ne zna, ničigove."," Ne zna, ničigove."," Ne zna, ničigove."," Ne zna, ničigove."," Ne zna, ničigove."," Ne znam, ničigo već."
Onda su moje aš son se ja parvi spomenul.,data/test/MP_13_212.8-215.04.mp3,Dilavac,Onda su moje aš son se ja parvi spomenul.," Onda su moje, a šton san ja par vi spomenul."," Onda su moje, aš sam se ja parvi spomenul,"," Onda su moje, aš san se ja par vi spomenul."," Onda su moje, aš san se ja par vi spomenul."," Onda su moje, aš san se ja par vi spomenul."," Onda su moje, a šton san ja par vi spomenul."," Onda su moje, a šton san ja par vi spomenul."," Onda su moje, aš san se ja par vi spomenul."," Onda su moje, aš san se ja par vi spomenul."," Onda su moje, aš san se ja par vi spomenul."," Onda su moje, a što sam se ja parvi spomenul,"," Onda su moje, a šton san ja parvi spomenul."," Onda su moje, aš san se ja par vi spomenul."," Onda su moje, aš san se ja par vi spomenul."," Onda su moje, aš san se ja par vi spomenul."," Onda su moje, a što sam ja parvi spomenul."," Onda su moje, aš san se ja par vi spomenul."," Onda su moje, aš san se ja par vi spomenul."," Onda su moje, a šton san ja par vi spomenul."," Onda su moje, aš san se ja par vi spomenul."," Onda su moje, a šton san ja par vi spomenul,"," Onda su moje, aš san se ja par vi spomenul."," Onda su moje, aš san se ja par vi spomenul."," Onda su moje, aš san se ja par vi spomenul."," Onda su moje, aš san se ja par vi spomenul."," Onda su moje, a šton san ja par vi spomenul."," Onda su moje, aš san se ja par vi spomenul."," Onda su moje, aš san se ja par vi spomenul."," Onda su moje, aš san se ja par vi spomenul."," Onda su moje, aš san se ja par vi spomenul."," Onda sumo je, až sam se ja parvi spomenula,"
Ča je to zadosti?,data/test/MP_13_215.82-216.67.mp3,Mići Princ,Ča je to zadosti?, Ča je to za dosti?, Ča je to za dosti?, Ča je to za dosti?, Ča je to za dosti?, Ča je to za dosti?, Ča je to za dosti?, Ča je to za dosti?, Ča je to za dosti?, Ča je to za dosti?, Ča je to za dosti?, Ča je to zadosti?, Ča je to zadosti?, Ča je to za dosti?, Ča je to za dosti?, Ča je to za dosti?, Ča je to za dosti?, Ča je to za dosti?, Ča je to za dosti?, Ča je to za dosti?, Ča je to za dosti?, Ča je to zadosti?, Ča je to za dosti?, Ča je to za dosti?, Ča je to za dosti?, Ča je to za dosti?, Ča je to za dosti?, Ča je to za dosti?, Ča je to za dosti?, Ča je to za dosti?, Ča je to za dosti?, Ča je to zadosti?
"Jušto. Kada najdes dijamant ki ni nikinjev, je tvoj. Kad najdes škoj ki ni nikinjev, je tvoj. Kad se parvi nec spomenes, to je tvoje. A zvezdi su moje aš prej mene nikomu ni palo na pamet da ih zame.",data/test/MP_13_217.2-230.4.mp3,Dilavac,"Jušto. Kada najdes dijamant ki ni nikinjev, je tvoj. Kad najdes škoj ki ni nikinjev, je tvoj. Kad se parvi nec spomenes, to je tvoje. A zvezdi su moje aš prej mene nikomu ni palo na pamet da ih zame."," Jušto, kad najdeš dijamant ki ni nikinjev, je tvoj. Kad najdeš koj ki ni nikinjev, je tvoj. Kad se par vinec spomenes, to je tvoje, a zvezdi su moje aš prej mene nikomu ni palo na pamet da jih zame."," Jušto, kad najdeš dijamant ki ni nikinjev, je tvoj. Kad najdeš koj ki ni nikinjev, je tvoj. Kad se par vinec spomenes, to je tvoje, a zvezdi su moje aš prej mene nikomu ni palo na pamet da je za me."," Jušto, kad najdeš dijamant ki ni nikinjev, je tvoj. Kad najdeš koj ki ni nikinjev, je tvoj. Kad se par vinec spomenes, to je tvoje, a zvezdi su moje aš prej mene nikomu ni palo na pamet da jih zame."," Jušto, kad najdeš dijamant ki ni nikinjev, je tvoj. Kad najdeš koj ki ni nikinjev, je tvoj. Kad se par vinec spomenes, to je tvoje, a zvezdi su moje aš prej mene nikomu ni palo na pamet da jih zame."," Jušto, kad najdeš dijamant ki ni nikinjev, je tvoj. Kad najdeš koj ki ni nikinjev, je tvoj. Kad se par vinec spomenes, to je tvoje, a zvezdi su moje aš prej mene nikomu ni palo na pamet da jih zame."," Jušto, kad najdeš dijamant ki ni nikinjev, je tvoj. Kad najdeš koj ki ni nikinjev, je tvoj. Kad se par vinec spomenes, to je tvoje, a zvezdi su moje aš prej mene nikomu ni palo na pamet da jih zame."," Jušto, kad najdeš dijamant ki ni nikinjev, je tvoj. Kad najdeš koj ki ni nikinjev, je tvoj. Kad se par vinec spomenes, to je tvoje, a zvezdi su moje aš prej mene nikomu ni palo na pamet da jih zame."," Jušto, kad najdeš dijamant ki ni nikinjev, je tvoj. Kad najdeš koj ki ni nikinjev, je tvoj. Kad se par vinec spomenes, to je tvoje, a zvezdi su moje aš prej mene nikomu ni palo na pamet da jih zame."," Jušto, kad najdeš dijamant ki ni nikinjev, je tvoj. Kad najdeš koj ki ni nikinjev, je tvoj. Kad se par vinec spomenes, to je tvoje, a zvezdi su moje aš prej mene nikomu ni palo na pamet da jih zame."," Jušto, kad najdeš dijamant ki ni nikinjev, je tvoj. Kad najdeš koj ki ni nikinjev, je tvoj. Kad se par vinec spomenes, to je tvoje, a zvezdi su moje aš prej mene nikomu ni palo na pamet da jih zame."," Jušto, kad najdeš dijamant ki ni nikinjev, je tvoj. Kad najdeš koj ki ni nikinjev, je tvoj. Kad se par vinec spomenes, to je tvoje, a zvezdi su moje aš pre mene nikomu ni palo na pamet da jih zame."," Jušto, kad najdeš dijamant ki ni nikinjev, je tvoj. Kad najdeš koj ki ni nikinjev, je tvoj. Kad se par vinec pomenes, to je tvoje, a zvezdi su moje aš prej mene nikomu ni palo na pamet da je za me."," Jušto, kad najdeš dijamant ki ni nikinjev, je tvoj. Kad najdeš koj ki ni nikinjev, je tvoj. Kad se par vinec spomenes, to je tvoje, a zvezdi su moje aš prej mene nikomu ni palo na pamet da jih zame."," Jušto, kad najdeš dijamant ki ni nikinjev, je tvoj. Kad najdeš koj ki ni nikinjev, je tvoj. Kad se par vinec spomenes, to je tvoje, a zvezdi su moje aš prej mene nikomu ni palo na pamet da jih zame."," Jušto, kad najdeš dijamant ki ni nikinjev, je tvoj. Kad najdeš koj ki ni nikinjev, je tvoj. Kad se par vinec spomenes, to je tvoje, a zvezdi su moje aš prej mene nikomu ni palo na pamet da jih zame."," Jušto, kad najdeš dijamant ki ni nikinjev, je tvoj. Kad najdeš koj ki ni nikinjev, je tvoj. Kad se par vinec spomenes, to je tvoje, a zvezdi su moje aš prej mene nikomu ni palo na pamet da jih zame."," Jušto, kad najdeš dijamant ki ni nikinjev, je tvoj. Kad najdeš koj ki ni nikinjev, je tvoj. Kad se par vinec spomenes, to je tvoje, a zvezdi su moje aš prej mene nikomu ni palo na pamet da jih zame."," Jušto, kad najdeš dijamant ki ni nikinjev, je tvoj. Kad najdeš koj ki ni nikinjev, je tvoj. Kad se par vinec spomenes, to je tvoje, a zvezdi su moje aš prej mene nikomu ni palo na pamet da jih zame."," Jušto, kad najdeš dijamant ki ni nikinjev, je tvoj. Kad najdeš koj ki ni nikinjev, je tvoj. Kad se par vinec spomenes, to je tvoje, a zvezdi su moje aš pre mene nikomu ni palo na pamet da jih zame."," Jušto, kad najdeš dijamant ki ni nikinjev, je tvoj. Kad najdeš koj ki ni nikinjev, je tvoj. Kad se par vinec spomenes, to je tvoje, a zvezdi su moje aš prej mene nikomu ni palo na pamet da jih zame."," Jušto, kad najdeš dijamant ki ni nikinjev, je tvoj. Kad najdeš koj ki ni nikinjev, je tvoj. Kad se par vinec spomenes, to je tvoje, a zvezdi su moje aš prej mene nikomu ni palo na pamet da jih zame."," Jušto, kad najdeš dijamant ki ni nikinjev, je tvoj. Kad najdeš koj ki ni nikinjev, je tvoj. Kad se par vinec spomenes, to je tvoje, a zvezdi su moje aš prej mene nikomu ni palo na pamet da jih zame."," Jušto, kad najdeš dijamant ki ni nikinjev, je tvoj. Kad najdeš koj ki ni nikinjev, je tvoj. Kad se par vinec spomenes, to je tvoje, a zvezdi su moje aš prej mene nikomu ni palo na pamet da jih zame."," Jušto, kad najdeš dijamant ki ni nikinjev, je tvoj. Kad najdeš koj ki ni nikinjev, je tvoj. Kad se par vinec spomenes, to je tvoje, a zvezdi su moje aš prej mene nikomu ni palo na pamet da jih zame."," Jušto, kad najdeš dijamant ki ni nikinjev, je tvoj. Kad najdeš koj ki ni nikinjev, je tvoj. Kad se par vinec spomenes, to je tvoje, a zvezdi su moje aš prej mene nikomu ni palo na pamet da jih zame."," Jušto, kad najdeš dijamant ki ni nikinjev, je tvoj. Kad najdeš koj ki ni nikinjev, je tvoj. Kad se par vinec spomenes, to je tvoje, a zvezdi su moje aš prej mene nikomu ni palo na pamet da jih zame."," Jušto, kad najdeš dijamant ki ni nikinjev, je tvoj. Kad najdeš koj ki ni nikinjev, je tvoj. Kad se par vinec spomenes, to je tvoje, a zvezdi su moje aš prej mene nikomu ni palo na pamet da jih zame."," Jušto, kad najdeš dijamant ki ni nikinjev, je tvoj. Kad najdeš koj ki ni nikinjev, je tvoj. Kad se par vinec spomenes, to je tvoje, a zvezdi su moje aš prej mene nikomu ni palo na pamet da jih zame."," Jušto, kad najdeš dijamant ki ni nikinjev, je tvoj. Kad najdeš koj ki ni nikinjev, je tvoj. Kad se par vinec spomenes, to je tvoje, a zvezdi su moje aš prej mene nikomu ni palo na pamet da jih zame."," Jušto, kad najdeš dijamant ki ni nikinjev, je tvoj. Kad najdeš koj ki ni nikinjev, je tvoj. Kad se par vinec spomenes, to je tvoje, a zvezdi su moje aš prej mene nikomu ni palo na pamet da jih zame."," Jušto, kad najdeš dijamant kini Nikinjev, je tvoj. Kad najdeš koj kini Nikinjev, je tvoj. Kad se par vinec pomene, to je tvoje. A zvezdi su moje, až pre mene nikomu ni palo na pamet da ih zame."
Istina. I ča š njimi diljivaš?,data/test/MP_13_230.71-232.97.mp3,Mići Princ,Istina. I ča š njimi diljivaš?, Istina. I ča s njimi dilivaš?, Istina. I ča s njimi dilivaš?, Istina. I ča s njimi dilivaš?, Istina. I ča s njimi dilivaš?, Istina. I ča s njimi dilivaš?, Istina. I ča s njimi dilivaš?, Istina. I ča s njimi dilivaš?, Istina. I ča s njimi dilivaš?, Istina. I ča s njimi dilivaš?, Istina. I ča s njimi dilivaš?, Istina. I ča s njimi dilivaš? Istina. I ča s njimi dilivaš?, Istina. I ča s njimi dilivaš?, Istina. I ča s njimi dilivaš?, Istina. I ča s njimi dilivaš?, Istina. I ča s njimi dilivaš?, Istina. I ča s njimi dilivaš?, Istina. I ča s njimi dilivaš?, Istina. I ča s njimi dilivaš?, Istina. I ča s njimi dilivaš?, Istina. I ča s njimi dilivaš?, Istina. I ča s njimi dilivaš?, Istina. I ča s njimi dilivaš?, Istina. I ča s njimi dilivaš?, Istina. I ča s njimi dilivaš?, Istina. I ča s njimi dilivaš?, Istina. I ča s njimi dilivaš?, Istina. I ča s njimi dilivaš?, Istina. I ča s njimi dilivaš?, Istina. I ča s njimi dilivaš?, Istina. I ča s njimi dilivaš?, Istina. I čaš njimi djelivaš?
